#{"t_start": 1761629247.7457414, "env_id": "HalfCheetah-v5"}
r,l,t
1367.652084,1000,1.010888
1606.415842,1000,1.196702
1598.144851,1000,1.771136
1593.956302,1000,1.957644
1619.402622,1000,2.505539
1613.540561,1000,2.691811
1628.58897,1000,3.282972
1672.550257,1000,3.46883
1581.442208,1000,4.014312
1624.153715,1000,4.199086
1661.886736,1000,4.735783
1617.627852,1000,4.921901
1641.593269,1000,5.460868
1527.379801,1000,5.646997
1403.066718,1000,6.194156
1642.022252,1000,6.380085
1659.740185,1000,6.933335
1663.639061,1000,7.118711
1636.300563,1000,7.674388
1595.782475,1000,7.860655
1604.358534,1000,8.463184
1660.656698,1000,8.649302
1590.076283,1000,9.262415
1608.943396,1000,9.448057
1630.90954,1000,9.996473
1645.800139,1000,10.182288
1632.625231,1000,10.737108
1191.864132,1000,10.921705
1670.142916,1000,11.480933
1582.459287,1000,11.667348
1643.116231,1000,12.204876
1559.13962,1000,12.390144
1640.339767,1000,13.10138
1610.439945,1000,13.286379
1611.235203,1000,13.848377
1634.649234,1000,14.033074
1622.47669,1000,14.579407
1618.459012,1000,14.764602
1635.744294,1000,15.309303
601.900672,1000,15.496743
1595.008877,1000,16.031153
1615.81474,1000,16.218241
1637.862663,1000,16.404681
1584.675447,1000,16.94289
689.616204,1000,17.128674
1666.938939,1000,17.789072
1469.674808,1000,17.972185
1512.392985,1000,18.508327
1592.810391,1000,18.693331
1601.249988,1000,19.229959
1649.141407,1000,19.414571
1603.369082,1000,19.950576
1298.279345,1000,20.134702
1617.711186,1000,20.749212
1618.065105,1000,20.933911
1596.626242,1000,21.532605
1612.003504,1000,21.717794
1684.072177,1000,22.305631
1640.539143,1000,22.491082
1653.381722,1000,23.032194
1583.715373,1000,23.216422
1628.259016,1000,23.754329
1438.906765,1000,23.938992
1590.861103,1000,24.475878
1653.382277,1000,24.661838
1684.622826,1000,25.203462
1601.870439,1000,25.388177
1604.912223,1000,25.999978
1689.20228,1000,26.184733
1589.03068,1000,26.71849
1569.916311,1000,26.902631
1562.756416,1000,27.45497
1584.084543,1000,27.639235
1605.652103,1000,28.173089
1571.408543,1000,28.358847
592.112964,1000,28.894492
1640.141183,1000,29.080209
1687.322621,1000,29.613823
1616.800812,1000,29.799636
1624.237027,1000,30.333569
1636.5903,1000,30.518837
1622.913873,1000,31.10183
1601.929918,1000,31.287553
1617.576594,1000,31.839683
1545.125828,1000,32.025242
1616.985172,1000,32.210871
1666.61473,1000,32.797316
1600.748072,1000,32.982627
1651.133201,1000,33.533677
1410.568412,1000,33.719022
1645.11209,1000,34.253812
1530.918941,1000,34.43729
1663.7728,1000,34.973754
1659.08657,1000,35.158679
1630.823302,1000,35.695121
1584.587501,1000,35.879896
1553.969876,1000,36.414801
1626.158919,1000,36.598959
1595.080478,1000,37.150382
1636.832764,1000,37.338436
1656.431933,1000,38.056357
1616.628454,1000,38.256317
1633.12267,1000,38.837826
1605.590775,1000,39.032955
1435.765938,1000,39.600186
1618.478879,1000,39.797872
1562.066669,1000,40.796859
1609.722211,1000,41.003035
1575.104352,1000,41.617418
1606.110314,1000,41.805668
1419.475235,1000,42.488241
1612.18281,1000,42.676418
1621.507743,1000,43.419558
1633.706461,1000,43.61079
1490.3936,1000,44.217379
1590.068117,1000,44.402417
1667.385335,1000,45.021301
1289.855263,1000,45.207581
1560.910958,1000,45.785686
1664.095491,1000,45.970572
1596.001758,1000,46.50552
1692.366828,1000,46.689865
1653.214997,1000,47.278925
1643.279805,1000,47.468261
1607.288793,1000,48.254825
1555.009828,1000,48.453632
1577.295017,1000,49.124448
1490.273085,1000,49.309182
1633.148807,1000,49.493418
1638.648526,1000,50.115146
1649.397877,1000,50.299232
1443.648023,1000,50.907709
1673.272791,1000,51.092842
1585.294867,1000,51.692599
1640.80136,1000,51.877118
1604.401906,1000,52.488191
1582.232684,1000,52.673145
1597.955944,1000,53.215219
1589.618824,1000,53.400103
1553.217573,1000,53.939846
