#{"t_start": 1760901452.8197339, "env_id": "HalfCheetah-v5"}
r,l,t
1526.302335,1000,1.376405
1583.959505,1000,2.19236
1564.24161,1000,6.179765
1579.830139,1000,6.94741
1621.068292,1000,11.147023
1361.802355,1000,12.003048
1572.225297,1000,16.060274
1595.608438,1000,16.854836
1500.229528,1000,22.271615
1598.671472,1000,23.252156
1548.792651,1000,29.859947
1533.222034,1000,30.727703
1603.55876,1000,38.692122
1571.591941,1000,39.618035
1583.175325,1000,44.652112
1625.798802,1000,45.439028
1598.340466,1000,49.057719
1599.405998,1000,49.882541
1542.142986,1000,54.189031
1615.437775,1000,54.95426
1535.152937,1000,58.732181
1608.742631,1000,59.465406
1586.013049,1000,63.101257
1551.203256,1000,63.859405
1618.685788,1000,67.599581
1537.798932,1000,68.317064
1555.881792,1000,72.17783
1609.005219,1000,72.940685
1452.660179,1000,77.046478
1606.863003,1000,77.797394
1618.493213,1000,83.13632
1635.05717,1000,83.959926
1602.791623,1000,89.31989
1627.820939,1000,90.175016
1615.399838,1000,94.357634
1563.649715,1000,95.196383
1613.419134,1000,99.403941
1582.902096,1000,100.222842
1600.164247,1000,104.073793
1634.999899,1000,104.879924
1592.436931,1000,108.584963
1628.524061,1000,109.344721
1573.736119,1000,110.114502
1582.275703,1000,114.470908
1518.047178,1000,115.336052
1575.780582,1000,119.941478
1642.41619,1000,120.705022
1628.306997,1000,125.097045
1580.453831,1000,125.859823
1602.243606,1000,129.502383
1659.820296,1000,130.334963
1556.290688,1000,134.037613
1563.490917,1000,134.827153
1609.551209,1000,138.548795
1626.939146,1000,139.321843
1618.791499,1000,143.561379
1564.926963,1000,144.351891
1456.572434,1000,148.973752
1610.165467,1000,149.780233
1533.720827,1000,154.073923
1632.015853,1000,154.87552
1629.801745,1000,158.395569
1608.121308,1000,159.179963
1606.318006,1000,162.951229
1563.745973,1000,163.701998
1613.089018,1000,168.304154
1382.607165,1000,169.139148
1495.567216,1000,173.759715
1591.130251,1000,174.529372
1593.356279,1000,179.108213
1645.219936,1000,179.892727
1575.152669,1000,184.581265
1384.865531,1000,185.363177
1543.183051,1000,189.384911
1428.406294,1000,190.172554
1646.161862,1000,194.870779
1572.729637,1000,195.760954
1586.691462,1000,199.999372
1570.429718,1000,200.797457
1636.079577,1000,205.39238
1654.969256,1000,206.136629
1602.860937,1000,212.560657
1601.884244,1000,213.344509
1563.864013,1000,216.956846
1636.641833,1000,217.742964
1602.235263,1000,218.522783
1599.244766,1000,223.219453
1621.343808,1000,223.957846
1564.019934,1000,228.041782
1614.654185,1000,228.789057
1601.544252,1000,232.644998
1583.068347,1000,233.436779
1625.315102,1000,237.011455
1592.052236,1000,237.873455
1615.409104,1000,241.669852
1643.709054,1000,242.466306
1657.571056,1000,246.072997
1618.053003,1000,246.881678
1651.593551,1000,250.416267
1623.140677,1000,251.211962
1582.23413,1000,256.273929
1654.163349,1000,257.152925
1616.265099,1000,263.564507
1647.63302,1000,264.440626
1659.614772,1000,271.756019
1604.279906,1000,272.639398
1642.232409,1000,279.567655
1634.135654,1000,280.367962
1631.500378,1000,284.566589
1644.925471,1000,285.359077
1641.410978,1000,288.939745
1576.908553,1000,289.728277
1676.156074,1000,294.533402
1308.876996,1000,295.25311
1623.367853,1000,298.96861
1644.489672,1000,299.72253
1682.424387,1000,304.158572
1630.882744,1000,304.922321
1586.767073,1000,309.059005
1562.091865,1000,309.835459
1564.983251,1000,313.788256
1644.051802,1000,314.586334
1597.669697,1000,318.964174
1601.816099,1000,319.736608
1614.039137,1000,323.30453
1626.497688,1000,324.130174
1652.463963,1000,328.086035
1671.656962,1000,328.81142
