#{"t_start": 1760896808.834667, "env_id": "Hopper-v5"}
r,l,t
36.394541,29,0.447841
5.615053,10,0.45022
7.453345,11,0.452751
17.252297,23,0.458817
12.301473,22,0.464179
9.715629,22,0.469336
5.372899,13,0.472533
6.504298,12,0.475458
18.243155,19,0.479905
20.76027,22,0.485129
14.275784,20,0.490174
21.473291,24,0.495775
21.324338,29,0.502777
3.705147,9,0.505002
7.415744,14,0.508306
11.974098,18,0.512528
87.295818,51,0.52456
7.990329,12,0.527355
5.173459,9,0.529404
14.688303,19,0.533899
21.344422,20,0.53856
48.459034,46,0.549433
17.21172,33,0.557238
5.029031,12,0.560123
8.533334,13,0.563224
8.130516,27,0.569635
10.649449,14,0.572935
29.190137,27,0.579327
8.604975,13,0.582343
24.067982,21,0.587254
14.920199,15,0.590659
8.233772,19,0.5951
15.297779,18,0.599338
9.619098,29,0.606194
5.954957,9,0.608312
17.823824,24,0.613938
17.477666,18,0.618071
8.070798,31,0.625435
11.03307,18,0.629763
11.891117,14,0.633056
21.329706,22,0.638161
16.098985,27,0.644642
8.515283,16,0.648491
9.124568,19,0.652996
12.297324,22,0.658199
7.330721,11,0.660728
7.103434,12,0.663539
21.285392,31,0.670805
6.457514,12,0.673572
10.249448,22,0.678673
27.368813,31,0.686105
6.905015,13,0.689193
12.008776,15,0.692621
42.119183,41,0.702132
48.746957,35,0.710054
11.816709,17,0.714083
7.842112,13,0.717077
13.557326,16,0.720656
6.503601,13,0.723644
3.359872,7,0.725182
22.664349,23,0.730482
13.047601,23,0.735798
12.360824,22,0.74083
9.941759,27,0.746989
35.494798,30,0.753762
15.593282,18,0.757851
5.407278,9,0.759808
8.069116,12,0.762422
7.135041,11,0.764826
12.783551,21,0.769612
13.883841,25,0.775529
89.734299,58,0.788831
128.014949,78,0.806143
11.029649,15,0.809508
8.282473,14,0.812628
34.011787,31,0.819917
8.902458,18,0.824069
40.039718,43,0.83395
16.529488,35,0.842017
9.56566,12,0.844661
10.318213,12,0.847435
99.484979,59,0.860617
15.490473,22,0.865994
13.222579,20,0.870605
12.340887,20,0.87538
6.562102,27,0.881616
10.686118,14,0.884713
43.686073,37,0.893032
9.56445,29,0.899583
11.592277,21,0.90449
7.089285,11,0.906843
28.948972,28,0.913178
8.686146,12,0.91578
7.579865,14,1.324741
30.983983,26,1.33119
7.357555,12,1.334055
9.907583,14,1.337339
8.201752,14,1.340688
14.02915,21,1.345633
38.501638,33,1.353464
60.848073,53,1.366403
8.205324,21,1.37131
11.122216,15,1.374874
22.34116,39,1.384201
32.228529,26,1.390303
34.554153,53,1.403182
8.093003,12,1.405979
10.856715,33,1.413671
53.209135,58,1.427887
11.066349,16,1.431639
5.424976,9,1.433687
18.848023,24,1.439402
9.640566,11,1.441965
6.383672,12,1.444812
17.947822,20,1.449998
9.137546,35,1.458143
23.188049,28,1.465484
5.905484,21,1.470554
9.946124,12,1.473401
11.161173,16,1.477249
9.578303,16,1.481065
13.463492,15,1.484643
5.86447,9,1.486773
5.660862,9,1.488896
9.998586,12,1.491668
7.354374,13,1.494762
28.827113,38,1.503741
9.769895,21,1.509494
13.176744,21,1.514535
7.472027,14,1.517915
13.90227,16,1.521668
28.196887,30,1.528739
4.781168,13,1.531805
30.61488,28,1.538436
18.281376,20,1.543128
24.574301,48,1.554485
62.405725,37,1.56309
23.177319,22,1.568222
7.545248,13,1.572098
58.336342,39,1.581084
13.185569,13,1.584088
17.373647,30,1.591226
20.060628,21,1.596228
31.000689,31,1.603435
12.859856,15,1.606989
46.629407,54,1.620514
46.18324,44,1.63099
11.115683,23,1.636428
6.853772,22,1.641662
28.092012,27,1.647989
15.683148,17,1.652034
210.568518,126,1.681659
16.930067,19,1.68626
6.249058,12,1.689104
6.2665,10,1.691487
24.796044,34,1.69954
6.584757,14,1.702902
10.617353,14,1.706199
4.746827,10,1.708551
14.608605,23,1.713927
21.220096,22,1.719591
30.991571,37,1.728404
10.931693,17,1.732449
16.336868,25,1.738284
11.287135,24,1.743885
4.767355,8,1.745842
7.336656,12,1.74867
9.376137,23,1.753961
13.093285,17,1.757993
5.475832,9,1.760037
11.419429,16,1.763785
6.234781,15,1.767691
29.486775,33,1.775601
28.737983,29,1.782491
13.634598,34,1.790548
14.101317,18,1.794767
7.275417,11,1.79741
6.878467,20,1.802153
10.195024,12,1.804994
15.187286,16,1.808732
19.220649,28,2.180712
9.019389,16,2.184765
