#{"t_start": 1760907604.3554823, "env_id": "Humanoid-v5"}
r,l,t
289.018922,58,0.494106
324.171617,65,0.522146
469.606378,93,0.5621
531.767664,98,0.604225
389.539602,77,0.638659
540.002298,119,0.694811
415.148767,77,0.72853
574.183815,106,0.774337
410.632722,77,0.807868
467.180236,89,0.847965
374.282213,74,0.880595
505.328663,102,0.925084
610.112493,117,0.977794
363.258017,68,1.006598
408.018725,77,1.039065
307.621359,71,1.069419
487.572592,95,1.109653
403.788093,81,1.143987
474.314633,96,1.185308
398.322313,77,1.218448
286.782498,55,1.242726
861.901577,160,1.313496
409.825605,85,1.350316
403.840213,76,1.870183
337.522985,65,1.897573
484.674523,106,1.944828
417.072296,87,1.982959
446.639458,90,2.020478
442.908476,94,2.06044
503.747521,98,2.102701
696.288992,152,2.169451
346.666601,75,2.202002
443.101612,87,2.239817
326.740576,62,2.265893
334.196128,71,2.297036
524.386359,103,2.34125
663.207736,131,2.397759
411.447133,76,2.430471
348.130626,73,2.461311
309.100155,61,2.488574
581.866436,116,2.5392
335.816936,63,2.566593
565.221985,112,2.615811
691.103166,133,2.675359
600.492261,123,2.730638
325.684924,63,3.20603
424.518815,79,3.239618
544.097661,101,3.296949
377.887165,73,3.32822
574.626775,111,3.373775
487.042644,101,3.416509
416.564562,79,3.451557
391.274339,73,3.482798
391.936087,80,3.517746
576.155782,111,3.56793
474.979661,97,3.611526
353.134891,72,3.642509
286.14374,61,3.669076
338.036439,77,3.702534
375.842978,80,3.737626
420.988946,80,3.773586
581.415688,110,3.821072
504.223717,98,3.86858
366.759807,72,3.89845
414.282661,76,3.932069
582.769713,110,3.981426
343.973579,66,4.00989
411.223005,84,4.046165
770.695117,146,4.581995
479.884821,101,4.625791
449.421217,86,4.663892
485.98595,92,4.702813
449.498875,94,4.744513
349.364592,66,4.773027
317.741874,73,4.803782
422.073386,82,4.83963
336.249645,64,4.867032
585.639249,112,4.916756
383.048099,79,4.951648
348.177499,77,4.98427
522.664675,100,5.040464
405.370093,76,5.078221
470.808275,94,5.120216
714.011292,139,5.182744
279.261528,65,5.212026
558.450957,119,5.26429
496.404519,94,5.305318
632.059896,124,5.360358
430.320356,83,5.395504
751.250788,149,5.459544
328.310013,62,5.986606
525.122686,99,6.030852
430.300291,79,6.063599
400.737053,79,6.102792
387.447251,79,6.137074
292.208064,56,6.159917
299.349875,67,6.18868
326.226633,68,6.218954
517.318009,97,6.263509
410.469083,78,6.299575
473.542242,96,6.341751
500.807654,94,6.382094
396.151655,84,6.41661
402.130236,81,6.451201
692.619958,129,6.50806
443.38212,83,6.546171
305.928099,60,6.572929
306.244601,61,6.599415
557.5602,113,6.649173
487.881058,106,6.696347
451.814226,87,6.734737
332.703992,64,6.763162
322.515952,61,6.789296
309.068208,59,6.814857
350.901384,67,6.84479
309.785883,58,6.869394
408.866948,89,7.782766
342.851347,65,7.812897
633.403843,117,7.865131
401.881107,75,7.898221
478.252212,94,7.938974
364.062153,69,7.969032
335.660872,63,7.9962
372.228161,71,8.025691
368.612205,70,8.055818
595.626182,117,8.107001
531.748152,104,8.152474
240.079116,51,8.17283
555.208459,112,8.222583
460.368568,87,8.261083
427.218592,81,8.29838
629.268575,135,8.358852
404.065387,75,8.392545
382.160782,71,8.42308
324.720834,61,8.449645
353.009087,66,8.478517
428.825747,81,8.51476
618.415792,118,8.56679
667.315841,131,8.624617
453.182902,84,9.10057
488.160221,92,9.140333
343.671485,73,9.17301
400.386803,81,9.208175
483.403861,95,9.249324
487.510653,92,9.288688
704.09838,130,9.344355
604.252266,112,9.392376
486.256118,95,9.434833
283.571755,64,9.461177
447.588631,83,9.496788
506.198508,99,9.540096
413.396002,86,9.578256
419.5523,79,9.613008
394.981131,76,9.643789
458.426374,85,9.679969
473.087362,99,9.722197
416.280575,86,9.758562
350.6313,65,9.78655
488.847887,90,9.825462
485.265148,100,9.870734
632.194821,118,9.921462
385.59746,77,9.954485
535.058052,108,10.428112
492.936494,93,10.46892
581.037318,110,10.516999
572.439043,117,10.56853
625.835913,129,10.62454
443.075048,88,10.661621
448.782176,83,10.697427
472.631494,90,10.73737
374.376167,69,10.767404
866.183496,164,10.838046
349.650844,67,10.866656
444.907682,83,10.902934
342.776461,70,10.931947
509.978228,99,10.974769
478.886062,90,11.012408
348.056433,67,11.041138
378.288315,73,11.071593
319.092552,70,11.100861
462.913085,85,11.137277
314.963332,68,11.166674
356.53883,68,11.195531
409.87071,79,11.229391
321.680292,67,11.257786
306.716498,59,11.282601
400.646321,77,11.741857
586.114686,115,11.792111
417.510508,80,11.825763
661.286566,130,11.882384
415.550484,79,11.916556
479.060753,88,11.953539
458.141657,90,11.99145
473.020222,94,12.032868
440.289914,97,12.075802
344.026005,65,12.102973
481.520776,89,12.140162
452.739557,98,12.183505
522.63473,98,12.227827
404.117493,88,12.266271
891.150656,171,12.339586
377.297295,81,12.373704
351.336382,76,12.40685
